Hidden Layers,HiddenL1 Units,HiddenL2 Units,Epochs,Alpha,Eta,Train ratio,Test ratio,Accuracy
1,2,,200,1,0.100,0.7,0.3,0.94440
1,3,,200,1,0.100,0.7,0.3,0.94440
1,4,,200,1,0.100,0.7,0.3,0.96300
1,2,,200,1,0.100,0.8,0.2,0.94440
1,3,,200,1,0.100,0.8,0.2,0.97220
1,4,,200,1,0.100,0.8,0.2,0.94440
1,2,,200,1,0.100,0.9,0.1,1.00000
1,3,,200,1,0.100,0.9,0.1,1.00000
1,4,,200,1,0.100,0.9,0.1,1.00000
1,2,,200,1,0.010,0.7,0.3,0.96300
1,3,,200,1,0.010,0.7,0.3,0.98150
1,4,,200,1,0.010,0.7,0.3,0.98150
1,2,,200,1,0.010,0.8,0.2,0.97220
1,3,,200,1,0.010,0.8,0.2,0.97220
1,4,,200,1,0.010,0.8,0.2,0.97220
1,2,,200,1,0.010,0.9,0.1,1.00000
1,3,,200,1,0.010,0.9,0.1,1.00000
1,4,,200,1,0.010,0.9,0.1,1.00000
1,2,,200,1,0.001,0.7,0.3,0.59260
1,3,,200,1,0.001,0.7,0.3,0.74070
1,4,,200,1,0.001,0.7,0.3,0.83330
1,2,,200,1,0.001,0.8,0.2,0.66670
1,3,,200,1,0.001,0.8,0.2,0.72220
1,4,,200,1,0.001,0.8,0.2,0.88890
1,2,,200,1,0.001,0.9,0.1,0.88890
1,3,,200,1,0.001,0.9,0.1,0.94440
1,4,,200,1,0.001,0.9,0.1,1.00000
1,2,,200,2,0.100,0.7,0.3,0.96300
1,3,,200,2,0.100,0.7,0.3,0.98150
1,4,,200,2,0.100,0.7,0.3,0.94440
1,2,,200,2,0.100,0.8,0.2,0.94440
1,3,,200,2,0.100,0.8,0.2,0.97220
1,4,,200,2,0.100,0.8,0.2,0.97220
1,2,,200,2,0.100,0.9,0.1,1.00000
1,3,,200,2,0.100,0.9,0.1,1.00000
1,4,,200,2,0.100,0.9,0.1,1.00000
1,2,,200,2,0.010,0.7,0.3,0.87040
1,3,,200,2,0.010,0.7,0.3,0.96300
1,4,,200,2,0.010,0.7,0.3,0.92590
1,2,,200,2,0.010,0.8,0.2,0.91670
1,3,,200,2,0.010,0.8,0.2,0.97220
1,4,,200,2,0.010,0.8,0.2,0.97220
1,2,,200,2,0.010,0.9,0.1,1.00000
1,3,,200,2,0.010,0.9,0.1,1.00000
1,4,,200,2,0.010,0.9,0.1,1.00000
1,2,,200,2,0.001,0.7,0.3,0.57410
1,3,,200,2,0.001,0.7,0.3,0.90740
1,4,,200,2,0.001,0.7,0.3,0.87040
1,2,,200,2,0.001,0.8,0.2,0.80560
1,3,,200,2,0.001,0.8,0.2,0.86110
1,4,,200,2,0.001,0.8,0.2,0.75000
1,2,,200,2,0.001,0.9,0.1,0.88890
1,3,,200,2,0.001,0.9,0.1,0.77780
1,4,,200,2,0.001,0.9,0.1,0.83330
1,2,,200,5,0.100,0.7,0.3,0.92590
1,3,,200,5,0.100,0.7,0.3,0.98150
1,4,,200,5,0.100,0.7,0.3,0.94440
1,2,,200,5,0.100,0.8,0.2,0.94440
1,3,,200,5,0.100,0.8,0.2,0.88890
1,4,,200,5,0.100,0.8,0.2,0.97220
1,2,,200,5,0.100,0.9,0.1,1.00000
1,3,,200,5,0.100,0.9,0.1,1.00000
1,4,,200,5,0.100,0.9,0.1,1.00000
1,2,,200,5,0.010,0.7,0.3,0.98150
1,3,,200,5,0.010,0.7,0.3,0.96300
1,4,,200,5,0.010,0.7,0.3,0.94440
1,2,,200,5,0.010,0.8,0.2,0.91670
1,3,,200,5,0.010,0.8,0.2,0.97220
1,4,,200,5,0.010,0.8,0.2,0.97220
1,2,,200,5,0.010,0.9,0.1,1.00000
1,3,,200,5,0.010,0.9,0.1,1.00000
1,4,,200,5,0.010,0.9,0.1,1.00000
1,2,,200,5,0.001,0.7,0.3,0.81480
1,3,,200,5,0.001,0.7,0.3,0.75930
1,4,,200,5,0.001,0.7,0.3,0.83330
1,2,,200,5,0.001,0.8,0.2,0.66670
1,3,,200,5,0.001,0.8,0.2,0.91670
1,4,,200,5,0.001,0.8,0.2,0.83330
1,2,,200,5,0.001,0.9,0.1,0.77780
1,3,,200,5,0.001,0.9,0.1,0.94440
1,4,,200,5,0.001,0.9,0.1,0.72220
1,2,,500,1,0.100,0.7,0.3,0.96300
1,3,,500,1,0.100,0.7,0.3,0.94440
1,4,,500,1,0.100,0.7,0.3,0.94440
1,2,,500,1,0.100,0.8,0.2,0.86110
1,3,,500,1,0.100,0.8,0.2,0.97220
1,4,,500,1,0.100,0.8,0.2,0.94440
1,2,,500,1,0.100,0.9,0.1,1.00000
1,3,,500,1,0.100,0.9,0.1,1.00000
1,4,,500,1,0.100,0.9,0.1,1.00000
1,2,,500,1,0.010,0.7,0.3,0.98150
1,3,,500,1,0.010,0.7,0.3,0.88890
1,4,,500,1,0.010,0.7,0.3,0.94440
1,2,,500,1,0.010,0.8,0.2,0.80560
1,3,,500,1,0.010,0.8,0.2,0.94440
1,4,,500,1,0.010,0.8,0.2,0.91670
1,2,,500,1,0.010,0.9,0.1,0.94440
1,3,,500,1,0.010,0.9,0.1,1.00000
1,4,,500,1,0.010,0.9,0.1,1.00000
1,2,,500,1,0.001,0.7,0.3,0.92590
1,3,,500,1,0.001,0.7,0.3,0.90740
1,4,,500,1,0.001,0.7,0.3,0.92590
1,2,,500,1,0.001,0.8,0.2,0.91670
1,3,,500,1,0.001,0.8,0.2,0.83330
1,4,,500,1,0.001,0.8,0.2,0.94440
1,2,,500,1,0.001,0.9,0.1,1.00000
1,3,,500,1,0.001,0.9,0.1,1.00000
1,4,,500,1,0.001,0.9,0.1,0.83330
1,2,,500,2,0.100,0.7,0.3,0.98150
1,3,,500,2,0.100,0.7,0.3,0.94440
1,4,,500,2,0.100,0.7,0.3,0.92590
1,2,,500,2,0.100,0.8,0.2,0.94440
1,3,,500,2,0.100,0.8,0.2,0.97220
1,4,,500,2,0.100,0.8,0.2,0.94440
1,2,,500,2,0.100,0.9,0.1,1.00000
1,3,,500,2,0.100,0.9,0.1,1.00000
1,4,,500,2,0.100,0.9,0.1,1.00000
1,2,,500,2,0.010,0.7,0.3,0.90740
1,3,,500,2,0.010,0.7,0.3,0.98150
1,4,,500,2,0.010,0.7,0.3,0.96300
1,2,,500,2,0.010,0.8,0.2,0.94440
1,3,,500,2,0.010,0.8,0.2,0.97220
1,4,,500,2,0.010,0.8,0.2,0.97220
1,2,,500,2,0.010,0.9,0.1,1.00000
1,3,,500,2,0.010,0.9,0.1,1.00000
1,4,,500,2,0.010,0.9,0.1,0.94440
1,2,,500,2,0.001,0.7,0.3,0.87040
1,3,,500,2,0.001,0.7,0.3,0.81480
1,4,,500,2,0.001,0.7,0.3,0.83330
1,2,,500,2,0.001,0.8,0.2,0.86110
1,3,,500,2,0.001,0.8,0.2,0.86110
1,4,,500,2,0.001,0.8,0.2,0.91670
1,2,,500,2,0.001,0.9,0.1,0.94440
1,3,,500,2,0.001,0.9,0.1,1.00000
1,4,,500,2,0.001,0.9,0.1,0.94440
1,2,,500,5,0.100,0.7,0.3,0.96300
1,3,,500,5,0.100,0.7,0.3,0.94440
1,4,,500,5,0.100,0.7,0.3,0.98150
1,2,,500,5,0.100,0.8,0.2,0.91670
1,3,,500,5,0.100,0.8,0.2,0.94440
1,4,,500,5,0.100,0.8,0.2,0.94440
1,2,,500,5,0.100,0.9,0.1,1.00000
1,3,,500,5,0.100,0.9,0.1,1.00000
1,4,,500,5,0.100,0.9,0.1,1.00000
1,2,,500,5,0.010,0.7,0.3,0.94440
1,3,,500,5,0.010,0.7,0.3,0.96300
1,4,,500,5,0.010,0.7,0.3,0.94440
1,2,,500,5,0.010,0.8,0.2,0.94440
1,3,,500,5,0.010,0.8,0.2,0.97220
1,4,,500,5,0.010,0.8,0.2,0.97220
1,2,,500,5,0.010,0.9,0.1,1.00000
1,3,,500,5,0.010,0.9,0.1,1.00000
1,4,,500,5,0.010,0.9,0.1,1.00000
1,2,,500,5,0.001,0.7,0.3,0.87040
1,3,,500,5,0.001,0.7,0.3,0.90740
1,4,,500,5,0.001,0.7,0.3,0.85190
1,2,,500,5,0.001,0.8,0.2,0.88890
1,3,,500,5,0.001,0.8,0.2,0.88890
1,4,,500,5,0.001,0.8,0.2,0.86110
1,2,,500,5,0.001,0.9,0.1,0.88890
1,3,,500,5,0.001,0.9,0.1,0.88890
1,4,,500,5,0.001,0.9,0.1,0.94440
1,2,,1000,1,0.100,0.7,0.3,0.96300
1,3,,1000,1,0.100,0.7,0.3,0.96300
1,4,,1000,1,0.100,0.7,0.3,0.96300
1,2,,1000,1,0.100,0.8,0.2,0.97220
1,3,,1000,1,0.100,0.8,0.2,0.97220
1,4,,1000,1,0.100,0.8,0.2,0.97220
1,2,,1000,1,0.100,0.9,0.1,1.00000
1,3,,1000,1,0.100,0.9,0.1,0.94440
1,4,,1000,1,0.100,0.9,0.1,1.00000
1,2,,1000,1,0.010,0.7,0.3,0.92590
1,3,,1000,1,0.010,0.7,0.3,0.92590
1,4,,1000,1,0.010,0.7,0.3,0.92590
1,2,,1000,1,0.010,0.8,0.2,0.94440
1,3,,1000,1,0.010,0.8,0.2,0.97220
1,4,,1000,1,0.010,0.8,0.2,0.97220
1,2,,1000,1,0.010,0.9,0.1,1.00000
1,3,,1000,1,0.010,0.9,0.1,0.94440
1,4,,1000,1,0.010,0.9,0.1,1.00000
1,2,,1000,1,0.001,0.7,0.3,0.98150
1,3,,1000,1,0.001,0.7,0.3,0.90740
1,4,,1000,1,0.001,0.7,0.3,0.96300
1,2,,1000,1,0.001,0.8,0.2,1.00000
1,3,,1000,1,0.001,0.8,0.2,0.91670
1,4,,1000,1,0.001,0.8,0.2,0.94440
1,2,,1000,1,0.001,0.9,0.1,1.00000
1,3,,1000,1,0.001,0.9,0.1,1.00000
1,4,,1000,1,0.001,0.9,0.1,1.00000
1,2,,1000,2,0.100,0.7,0.3,0.94440
1,3,,1000,2,0.100,0.7,0.3,0.98150
1,4,,1000,2,0.100,0.7,0.3,0.96300
1,2,,1000,2,0.100,0.8,0.2,0.97220
1,3,,1000,2,0.100,0.8,0.2,0.97220
1,4,,1000,2,0.100,0.8,0.2,0.97220
1,2,,1000,2,0.100,0.9,0.1,1.00000
1,3,,1000,2,0.100,0.9,0.1,1.00000
1,4,,1000,2,0.100,0.9,0.1,1.00000
1,2,,1000,2,0.010,0.7,0.3,0.94440
1,3,,1000,2,0.010,0.7,0.3,0.96300
1,4,,1000,2,0.010,0.7,0.3,0.98150
1,2,,1000,2,0.010,0.8,0.2,0.94440
1,3,,1000,2,0.010,0.8,0.2,0.94440
1,4,,1000,2,0.010,0.8,0.2,0.91670
1,2,,1000,2,0.010,0.9,0.1,1.00000
1,3,,1000,2,0.010,0.9,0.1,1.00000
1,4,,1000,2,0.010,0.9,0.1,1.00000
1,2,,1000,2,0.001,0.7,0.3,0.88890
1,3,,1000,2,0.001,0.7,0.3,0.90740
1,4,,1000,2,0.001,0.7,0.3,0.92590
1,2,,1000,2,0.001,0.8,0.2,0.83330
1,3,,1000,2,0.001,0.8,0.2,0.97220
1,4,,1000,2,0.001,0.8,0.2,0.97220
1,2,,1000,2,0.001,0.9,0.1,1.00000
1,3,,1000,2,0.001,0.9,0.1,0.94440
1,4,,1000,2,0.001,0.9,0.1,1.00000
1,2,,1000,5,0.100,0.7,0.3,0.98150
1,3,,1000,5,0.100,0.7,0.3,0.94440
1,4,,1000,5,0.100,0.7,0.3,0.96300
1,2,,1000,5,0.100,0.8,0.2,0.94440
1,3,,1000,5,0.100,0.8,0.2,0.94440
1,4,,1000,5,0.100,0.8,0.2,0.97220
1,2,,1000,5,0.100,0.9,0.1,1.00000
1,3,,1000,5,0.100,0.9,0.1,1.00000
1,4,,1000,5,0.100,0.9,0.1,1.00000
1,2,,1000,5,0.010,0.7,0.3,0.94440
1,3,,1000,5,0.010,0.7,0.3,0.94440
1,4,,1000,5,0.010,0.7,0.3,0.94440
1,2,,1000,5,0.010,0.8,0.2,0.97220
1,3,,1000,5,0.010,0.8,0.2,0.97220
1,4,,1000,5,0.010,0.8,0.2,0.94440
1,2,,1000,5,0.010,0.9,0.1,0.94440
1,3,,1000,5,0.010,0.9,0.1,1.00000
1,4,,1000,5,0.010,0.9,0.1,1.00000
1,2,,1000,5,0.001,0.7,0.3,0.94440
1,3,,1000,5,0.001,0.7,0.3,0.88890
1,4,,1000,5,0.001,0.7,0.3,0.94440
1,2,,1000,5,0.001,0.8,0.2,0.97220
1,3,,1000,5,0.001,0.8,0.2,0.97220
1,4,,1000,5,0.001,0.8,0.2,0.83330
1,2,,1000,5,0.001,0.9,0.1,1.00000
1,3,,1000,5,0.001,0.9,0.1,1.00000
1,4,,1000,5,0.001,0.9,0.1,0.83330
2,2,1,200,1,0.100,0.7,0.3,0.88890
2,2,3,200,1,0.100,0.7,0.3,0.85190
2,3,4,200,1,0.100,0.7,0.3,0.98150
2,2,1,200,1,0.100,0.8,0.2,0.97220
2,2,3,200,1,0.100,0.8,0.2,0.97220
2,3,4,200,1,0.100,0.8,0.2,0.94440
2,2,1,200,1,0.100,0.9,0.1,1.00000
2,2,3,200,1,0.100,0.9,0.1,0.94440
2,3,4,200,1,0.100,0.9,0.1,1.00000
2,2,1,200,1,0.010,0.7,0.3,0.81480
2,2,3,200,1,0.010,0.7,0.3,0.66670
2,3,4,200,1,0.010,0.7,0.3,0.90740
2,2,1,200,1,0.010,0.8,0.2,0.77780
2,2,3,200,1,0.010,0.8,0.2,0.94440
2,3,4,200,1,0.010,0.8,0.2,0.97220
2,2,1,200,1,0.010,0.9,0.1,0.83330
2,2,3,200,1,0.010,0.9,0.1,0.83330
2,3,4,200,1,0.010,0.9,0.1,1.00000
2,2,1,200,1,0.001,0.7,0.3,0.27780
2,2,3,200,1,0.001,0.7,0.3,0.42590
2,3,4,200,1,0.001,0.7,0.3,0.74070
2,2,1,200,1,0.001,0.8,0.2,0.44440
2,2,3,200,1,0.001,0.8,0.2,0.75000
2,3,4,200,1,0.001,0.8,0.2,0.63890
2,2,1,200,1,0.001,0.9,0.1,0.44440
2,2,3,200,1,0.001,0.9,0.1,0.72220
2,3,4,200,1,0.001,0.9,0.1,0.55560
2,2,1,200,2,0.100,0.7,0.3,0.88890
2,2,3,200,2,0.100,0.7,0.3,0.98150
2,3,4,200,2,0.100,0.7,0.3,0.92590
2,2,1,200,2,0.100,0.8,0.2,0.94440
2,2,3,200,2,0.100,0.8,0.2,0.97220
2,3,4,200,2,0.100,0.8,0.2,0.94440
2,2,1,200,2,0.100,0.9,0.1,0.88890
2,2,3,200,2,0.100,0.9,0.1,0.88890
2,3,4,200,2,0.100,0.9,0.1,0.94440
2,2,1,200,2,0.010,0.7,0.3,0.48150
2,2,3,200,2,0.010,0.7,0.3,0.88890
2,3,4,200,2,0.010,0.7,0.3,0.98150
2,2,1,200,2,0.010,0.8,0.2,0.72220
2,2,3,200,2,0.010,0.8,0.2,0.97220
2,3,4,200,2,0.010,0.8,0.2,0.94440
2,2,1,200,2,0.010,0.9,0.1,0.94440
2,2,3,200,2,0.010,0.9,0.1,1.00000
2,3,4,200,2,0.010,0.9,0.1,1.00000
2,2,1,200,2,0.001,0.7,0.3,0.29630
2,2,3,200,2,0.001,0.7,0.3,0.70370
2,3,4,200,2,0.001,0.7,0.3,0.81480
2,2,1,200,2,0.001,0.8,0.2,0.44440
2,2,3,200,2,0.001,0.8,0.2,0.55560
2,3,4,200,2,0.001,0.8,0.2,0.66670
2,2,1,200,2,0.001,0.9,0.1,0.44440
2,2,3,200,2,0.001,0.9,0.1,0.83330
2,3,4,200,2,0.001,0.9,0.1,0.77780
2,2,1,200,5,0.100,0.7,0.3,0.85190
2,2,3,200,5,0.100,0.7,0.3,0.96300
2,3,4,200,5,0.100,0.7,0.3,0.94440
2,2,1,200,5,0.100,0.8,0.2,0.97220
2,2,3,200,5,0.100,0.8,0.2,0.97220
2,3,4,200,5,0.100,0.8,0.2,0.94440
2,2,1,200,5,0.100,0.9,0.1,1.00000
2,2,3,200,5,0.100,0.9,0.1,1.00000
2,3,4,200,5,0.100,0.9,0.1,1.00000
2,2,1,200,5,0.010,0.7,0.3,0.79630
2,2,3,200,5,0.010,0.7,0.3,0.83330
2,3,4,200,5,0.010,0.7,0.3,0.88890
2,2,1,200,5,0.010,0.8,0.2,0.66670
2,2,3,200,5,0.010,0.8,0.2,0.86110
2,3,4,200,5,0.010,0.8,0.2,0.97220
2,2,1,200,5,0.010,0.9,0.1,0.77780
2,2,3,200,5,0.010,0.9,0.1,1.00000
2,3,4,200,5,0.010,0.9,0.1,0.94440
2,2,1,200,5,0.001,0.7,0.3,0.70370
2,2,3,200,5,0.001,0.7,0.3,0.44440
2,3,4,200,5,0.001,0.7,0.3,0.75930
2,2,1,200,5,0.001,0.8,0.2,0.44440
2,2,3,200,5,0.001,0.8,0.2,0.88890
2,3,4,200,5,0.001,0.8,0.2,0.66670
2,2,1,200,5,0.001,0.9,0.1,0.50000
2,2,3,200,5,0.001,0.9,0.1,0.55560
2,3,4,200,5,0.001,0.9,0.1,0.72220
2,2,1,500,1,0.100,0.7,0.3,0.88890
2,2,3,500,1,0.100,0.7,0.3,0.87040
2,3,4,500,1,0.100,0.7,0.3,0.92590
2,2,1,500,1,0.100,0.8,0.2,0.97220
2,2,3,500,1,0.100,0.8,0.2,0.97220
2,3,4,500,1,0.100,0.8,0.2,0.94440
2,2,1,500,1,0.100,0.9,0.1,1.00000
2,2,3,500,1,0.100,0.9,0.1,1.00000
2,3,4,500,1,0.100,0.9,0.1,1.00000
2,2,1,500,1,0.010,0.7,0.3,0.83330
2,2,3,500,1,0.010,0.7,0.3,0.96300
2,3,4,500,1,0.010,0.7,0.3,0.96300
2,2,1,500,1,0.010,0.8,0.2,0.97220
2,2,3,500,1,0.010,0.8,0.2,0.97220
2,3,4,500,1,0.010,0.8,0.2,0.91670
2,2,1,500,1,0.010,0.9,0.1,0.83330
2,2,3,500,1,0.010,0.9,0.1,1.00000
2,3,4,500,1,0.010,0.9,0.1,1.00000
2,2,1,500,1,0.001,0.7,0.3,0.46300
2,2,3,500,1,0.001,0.7,0.3,0.55560
2,3,4,500,1,0.001,0.7,0.3,0.88890
2,2,1,500,1,0.001,0.8,0.2,0.61110
2,2,3,500,1,0.001,0.8,0.2,0.66670
2,3,4,500,1,0.001,0.8,0.2,0.63890
2,2,1,500,1,0.001,0.9,0.1,0.72220
2,2,3,500,1,0.001,0.9,0.1,0.72220
2,3,4,500,1,0.001,0.9,0.1,0.83330
2,2,1,500,2,0.100,0.7,0.3,0.90740
2,2,3,500,2,0.100,0.7,0.3,0.98150
2,3,4,500,2,0.100,0.7,0.3,0.94440
2,2,1,500,2,0.100,0.8,0.2,0.94440
2,2,3,500,2,0.100,0.8,0.2,0.94440
2,3,4,500,2,0.100,0.8,0.2,0.94440
2,2,1,500,2,0.100,0.9,0.1,0.88890
2,2,3,500,2,0.100,0.9,0.1,1.00000
2,3,4,500,2,0.100,0.9,0.1,1.00000
2,2,1,500,2,0.010,0.7,0.3,0.79630
2,2,3,500,2,0.010,0.7,0.3,0.88890
2,3,4,500,2,0.010,0.7,0.3,0.92590
2,2,1,500,2,0.010,0.8,0.2,0.97220
2,2,3,500,2,0.010,0.8,0.2,0.97220
2,3,4,500,2,0.010,0.8,0.2,0.97220
2,2,1,500,2,0.010,0.9,0.1,0.94440
2,2,3,500,2,0.010,0.9,0.1,0.94440
2,3,4,500,2,0.010,0.9,0.1,1.00000
2,2,1,500,2,0.001,0.7,0.3,0.64810
2,2,3,500,2,0.001,0.7,0.3,0.62960
2,3,4,500,2,0.001,0.7,0.3,0.90740
2,2,1,500,2,0.001,0.8,0.2,0.44440
2,2,3,500,2,0.001,0.8,0.2,0.69440
2,3,4,500,2,0.001,0.8,0.2,0.83330
2,2,1,500,2,0.001,0.9,0.1,0.77780
2,2,3,500,2,0.001,0.9,0.1,1.00000
2,3,4,500,2,0.001,0.9,0.1,0.94440
2,2,1,500,5,0.100,0.7,0.3,0.85190
2,2,3,500,5,0.100,0.7,0.3,0.98150
2,3,4,500,5,0.100,0.7,0.3,0.92590
2,2,1,500,5,0.100,0.8,0.2,0.97220
2,2,3,500,5,0.100,0.8,0.2,0.91670
2,3,4,500,5,0.100,0.8,0.2,0.94440
2,2,1,500,5,0.100,0.9,0.1,0.94440
2,2,3,500,5,0.100,0.9,0.1,0.94440
2,3,4,500,5,0.100,0.9,0.1,1.00000
2,2,1,500,5,0.010,0.7,0.3,0.79630
2,2,3,500,5,0.010,0.7,0.3,0.94440
2,3,4,500,5,0.010,0.7,0.3,0.94440
2,2,1,500,5,0.010,0.8,0.2,0.72220
2,2,3,500,5,0.010,0.8,0.2,0.83330
2,3,4,500,5,0.010,0.8,0.2,0.94440
2,2,1,500,5,0.010,0.9,0.1,0.83330
2,2,3,500,5,0.010,0.9,0.1,0.94440
2,3,4,500,5,0.010,0.9,0.1,1.00000
2,2,1,500,5,0.001,0.7,0.3,0.38890
2,2,3,500,5,0.001,0.7,0.3,0.53700
2,3,4,500,5,0.001,0.7,0.3,0.90740
2,2,1,500,5,0.001,0.8,0.2,0.75000
2,2,3,500,5,0.001,0.8,0.2,0.63890
2,3,4,500,5,0.001,0.8,0.2,0.77780
2,2,1,500,5,0.001,0.9,0.1,0.50000
2,2,3,500,5,0.001,0.9,0.1,0.50000
2,3,4,500,5,0.001,0.9,0.1,0.94440
2,2,1,1000,1,0.100,0.7,0.3,0.94440
2,2,3,1000,1,0.100,0.7,0.3,0.96300
2,3,4,1000,1,0.100,0.7,0.3,0.98150
2,2,1,1000,1,0.100,0.8,0.2,0.86110
2,2,3,1000,1,0.100,0.8,0.2,0.91670
2,3,4,1000,1,0.100,0.8,0.2,0.97220
2,2,1,1000,1,0.100,0.9,0.1,1.00000
2,2,3,1000,1,0.100,0.9,0.1,1.00000
2,3,4,1000,1,0.100,0.9,0.1,1.00000
2,2,1,1000,1,0.010,0.7,0.3,0.87040
2,2,3,1000,1,0.010,0.7,0.3,0.90740
2,3,4,1000,1,0.010,0.7,0.3,0.96300
2,2,1,1000,1,0.010,0.8,0.2,0.63890
2,2,3,1000,1,0.010,0.8,0.2,0.97220
2,3,4,1000,1,0.010,0.8,0.2,0.94440
2,2,1,1000,1,0.010,0.9,0.1,0.94440
2,2,3,1000,1,0.010,0.9,0.1,1.00000
2,3,4,1000,1,0.010,0.9,0.1,1.00000
2,2,1,1000,1,0.001,0.7,0.3,0.79630
2,2,3,1000,1,0.001,0.7,0.3,0.46300
2,3,4,1000,1,0.001,0.7,0.3,0.88890
2,2,1,1000,1,0.001,0.8,0.2,0.66670
2,2,3,1000,1,0.001,0.8,0.2,0.94440
2,3,4,1000,1,0.001,0.8,0.2,0.97220
2,2,1,1000,1,0.001,0.9,0.1,0.55560
2,2,3,1000,1,0.001,0.9,0.1,0.94440
2,3,4,1000,1,0.001,0.9,0.1,1.00000
2,2,1,1000,2,0.100,0.7,0.3,0.94440
2,2,3,1000,2,0.100,0.7,0.3,0.96300
2,3,4,1000,2,0.100,0.7,0.3,0.94440
2,2,1,1000,2,0.100,0.8,0.2,0.97220
2,2,3,1000,2,0.100,0.8,0.2,0.97220
2,3,4,1000,2,0.100,0.8,0.2,0.97220
2,2,1,1000,2,0.100,0.9,0.1,1.00000
2,2,3,1000,2,0.100,0.9,0.1,1.00000
2,3,4,1000,2,0.100,0.9,0.1,1.00000
2,2,1,1000,2,0.010,0.7,0.3,0.57410
2,2,3,1000,2,0.010,0.7,0.3,0.94440
2,3,4,1000,2,0.010,0.7,0.3,0.92590
2,2,1,1000,2,0.010,0.8,0.2,0.97220
2,2,3,1000,2,0.010,0.8,0.2,0.94440
2,3,4,1000,2,0.010,0.8,0.2,0.97220
2,2,1,1000,2,0.010,0.9,0.1,1.00000
2,2,3,1000,2,0.010,0.9,0.1,1.00000
2,3,4,1000,2,0.010,0.9,0.1,1.00000
2,2,1,1000,2,0.001,0.7,0.3,0.74070
2,2,3,1000,2,0.001,0.7,0.3,0.61110
2,3,4,1000,2,0.001,0.7,0.3,0.87040
2,2,1,1000,2,0.001,0.8,0.2,0.72220
2,2,3,1000,2,0.001,0.8,0.2,0.86110
2,3,4,1000,2,0.001,0.8,0.2,0.97220
2,2,1,1000,2,0.001,0.9,0.1,0.77780
2,2,3,1000,2,0.001,0.9,0.1,0.77780
2,3,4,1000,2,0.001,0.9,0.1,0.94440
2,2,1,1000,5,0.100,0.7,0.3,0.85190
2,2,3,1000,5,0.100,0.7,0.3,0.94440
2,3,4,1000,5,0.100,0.7,0.3,0.96300
2,2,1,1000,5,0.100,0.8,0.2,0.97220
2,2,3,1000,5,0.100,0.8,0.2,0.94440
2,3,4,1000,5,0.100,0.8,0.2,0.94440
2,2,1,1000,5,0.100,0.9,0.1,1.00000
2,2,3,1000,5,0.100,0.9,0.1,1.00000
2,3,4,1000,5,0.100,0.9,0.1,1.00000
2,2,1,1000,5,0.010,0.7,0.3,0.75930
2,2,3,1000,5,0.010,0.7,0.3,0.96300
2,3,4,1000,5,0.010,0.7,0.3,0.96300
2,2,1,1000,5,0.010,0.8,0.2,0.88890
2,2,3,1000,5,0.010,0.8,0.2,0.97220
2,3,4,1000,5,0.010,0.8,0.2,0.86110
2,2,1,1000,5,0.010,0.9,0.1,0.83330
2,2,3,1000,5,0.010,0.9,0.1,1.00000
2,3,4,1000,5,0.010,0.9,0.1,1.00000
2,2,1,1000,5,0.001,0.7,0.3,0.68520
2,2,3,1000,5,0.001,0.7,0.3,0.94440
2,3,4,1000,5,0.001,0.7,0.3,0.96300
2,2,1,1000,5,0.001,0.8,0.2,0.63890
2,2,3,1000,5,0.001,0.8,0.2,0.91670
2,3,4,1000,5,0.001,0.8,0.2,0.86110
2,2,1,1000,5,0.001,0.9,0.1,0.77780
2,2,3,1000,5,0.001,0.9,0.1,1.00000
2,3,4,1000,5,0.001,0.9,0.1,1.00000
